year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
2000,2.01,2.33,6.06,2.63,4.03,4.09,2.32,4.14,8.61,0.47,1.55,3.99,42.23
2001,2.44,1.48,4.19,1.72,1.66,2.01,1.90,3.79,2.18,1.01,1.51,1.87,25.76
2002,2.45,0.39,5.05,3.79,4.40,2.38,1.27,2.69,3.68,6.37,3.77,4.60,40.84
2003,2.29,4.25,4.40,2.50,5.40,7.31,5.09,6.19,6.10,4.73,2.97,3.40,54.63
2004,2.07,2.27,2.03,5.12,3.47,4.31,7.97,7.08,10.50,2.30,2.85,3.37,53.34
2005,4.41,1.91,3.82,4.93,0.88,1.39,6.31,1.74,0.80,7.78,2.09,2.72,38.78
2006,4.20,2.40,0.68,3.16,2.16,8.62,5.13,1.41,5.53,5.01,5.48,2.30,46.08
2007,2.37,2.99,3.63,3.31,1.07,3.70,4.22,5.84,4.41,3.40,2.58,5.11,42.63
2008,1.09,5.77,4.68,3.86,5.41,2.54,3.53,1.09,6.61,1.91,2.93,6.83,46.25
2009,1.92,0.65,1.25,3.69,6.99,6.14,3.20,4.84,3.95,6.10,1.61,4.99,45.33
2010,2.27,2.91,3.42,1.70,5.08,4.13,5.80,1.72,5.47,2.54,2.42,1.97,39.43
2011,1.78,3.22,5.99,9.46,5.34,5.17,3.78,8.65,18.43,4.15,4.50,3.26,73.73
2012,3.17,2.12,1.74,1.87,5.55,4.29,4.60,5.99,4.47,6.58,1.05,3.79,45.22
2013,3.21,1.74,2.44,2.20,2.57,3.77,5.23,3.11,1.16,11.04,2.42,3.74,42.63
2014,2.44,4.27,3.88,5.91,5.14,3.78,4.34,3.91,1.54,2.43,2.75,3.26,43.65
2015,2.50,1.09,3.56,2.07,3.52,6.84,2.69,2.36,8.25,3.99,0.89,4.29,42.05
2016,4.63,5.29,1.30,2.51,3.46,4.46,5.10,4.02,4.42,1.26,2.16,2.36,40.97
2017,2.63,1.75,4.72,3.42,3.93,3.56,9.53,4.67,2.55,4.32,2.26,1.18,44.52
2018,4.00,5.44,2.97,3.98,5.71,4.00,12.09,5.28,6.91,2.39,8.56,5.70,67.03
2019,3.56,3.32,4.77,3.24,6.84,5.15,3.22,2.34,1.48,8.47,1.84,3.66,47.89
2020,3.08,2.52,3.97,5.47,1.89,3.81,1.35,4.48,1.82,3.05,2.42,4.15,38.01
2021,2.00,4.34,2.53,2.43,3.08,2.11,8.00,5.88,11.40,2.47,1.20,0.84,46.28
2022,2.86,2.92,2.97,3.44,6.67,M,M,M,M,M,M,M,M
