year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
2000,1.45,2.87,2.32,4.02,M,4.15,1.21,3.43,1.99,2.78,1.86,2.26,M
2001,1.33,0.74,4.21,2.66,1.38,5.02,2.40,3.89,3.11,1.63,1.54,2.42,30.33
2002,1.67,1.19,4.00,2.77,6.45,7.77,1.09,2.50,3.35,5.55,2.87,3.28,42.49
2003,2.36,3.91,3.16,2.71,3.65,5.32,5.41,9.10,7.21,3.09,4.59,4.27,54.78
2004,3.79,2.62,2.91,4.41,3.72,3.42,7.30,7.16,10.57,2.15,2.95,2.69,53.69
2005,5.26,2.84,3.79,1.49,2.06,1.87,2.98,3.00,0.85,5.65,4.08,2.32,36.19
2006,4.26,1.30,1.28,2.61,1.96,5.85,3.27,3.17,4.00,5.21,2.83,1.37,37.11
2007,2.71,2.06,3.50,3.48,1.58,2.55,3.12,4.70,1.61,2.53,3.96,4.06,35.86
2008,1.60,4.09,5.61,4.54,4.23,3.88,2.65,1.46,4.88,1.80,1.46,4.88,41.08
2009,1.94,1.04,1.38,3.16,3.58,4.10,3.11,5.80,2.35,4.84,1.31,3.89,36.50
2010,2.98,2.16,3.98,1.28,3.82,2.16,4.71,3.23,2.35,4.64,2.71,3.63,37.65
2011,1.15,3.63,5.20,5.71,5.72,3.67,2.38,6.59,8.89,5.02,3.42,4.14,55.52
2012,2.85,1.16,2.35,1.51,6.64,3.34,3.49,4.63,4.49,5.18,0.63,4.84,41.11
2013,2.86,1.60,2.03,3.55,3.18,7.33,5.97,1.09,2.11,3.03,2.79,3.95,39.49
2014,1.53,3.02,2.33,2.99,5.80,4.87,6.60,6.96,1.22,3.64,1.92,2.29,43.17
2015,2.48,1.28,2.40,4.99,1.56,6.81,6.08,3.01,3.57,3.58,1.37,3.91,41.04
2016,2.38,3.23,1.35,1.63,3.85,1.94,2.03,6.13,2.97,3.23,0.82,3.16,32.72
2017,3.11,2.01,3.44,4.31,6.31,3.81,5.06,2.56,1.87,6.32,2.17,1.22,42.19
2018,2.61,5.86,1.93,3.88,4.17,5.40,9.37,7.37,8.99,4.27,5.41,4.49,63.75
2019,4.66,3.91,2.34,3.55,6.22,3.61,2.51,2.64,1.87,4.50,2.64,3.05,41.50
2020,2.27,2.41,4.93,4.30,3.58,4.94,1.38,2.03,2.27,3.30,3.20,4.49,39.10
2021,1.40,3.02,3.37,2.21,4.57,4.32,5.77,4.87,8.81,3.50,1.73,2.37,45.94
2022,2.30,4.60,1.98,3.15,5.77,M,M,M,M,M,M,M,M
Mean,2.56,2.63,3.03,3.26,4.08,4.37,4.00,4.33,4.06,3.88,2.56,3.32,42.44
