year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
2000,2.19,2.9,5.18,3.84,3.4,3.73,3.36,1.98,6.49,0.45,1.78,2.26,37.56
2001,2.28,1.18,4.51,2.02,2.4,3.01,1.38,4.69,3.31,0.89,1.1,1.61,28.38
2002,2.05,0.42,3.66,3.1,4.49,2.52,1.52,3.42,4.15,5.92,3.58,4.39,39.22
2003,2.31,4.16,3.56,2.13,5.61,5.7,1.98,4.71,9.25,4.31,3.69,3.12,50.53
2004,2.19,2.78,2.03,5.82,4.23,3.61,5.36,3.33,7.36,0.89,2.36,3.44,43.4
2005,3.98,1.74,4.43,3.91,4.83,0.67,4.26,3.47,0.14,8.18,3.25,2.5,41.36
2006,4.03,1.93,0.53,3.63,1.92,4.07,0.85,2.94,4.45,3.65,6.21,1.08,35.29
2007,2.25,2.55,3.82,4.01,1.41,3.77,3.61,6.1,0.23,3.41,2.76,3.68,37.6
2008,1.19,4.6,4.26,4.11,6.41,1.26,7.45,3.18,7.64,1.74,2.44,5.27,49.55
2009,1.84,0.7,1.9,3.67,5.82,2.53,4.13,5.23,3.75,5.38,1.97,4.66,41.58
2010,1.72,2.09,3.56,1.89,5.3,1.6,6.54,3.03,6.85,2.93,2.33,0.82,38.66
2011,1.77,2.79,4.86,6.5,5.2,1.27,5.72,5.86,14.06,4.89,4.33,3.31,60.56
2012,2.71,2.18,1.53,2.8,5.27,2.86,4.71,3.32,5.9,4.58,1.03,2.89,39.78
2013,1.14,1.87,2.02,1.1,2.79,5.03,4.24,6.57,1.83,10.35,2.38,5.01,44.33
2014,2.44,4.12,5.24,6.16,1.8,4.65,2.95,3.9,1.69,3.86,2.41,3.22,42.44
2015,1.83,0.39,3.28,1.78,3.69,8.3,5.6,4.62,4.89,4.94,1.05,4.25,44.62
2016,1.51,4.72,1.42,2.22,4.98,3.29,2.87,3.27,4.2,0.87,2.2,1.98,33.53
2017,2.66,1.83,2.99,2.93,3.55,2.08,5.21,3.83,2.29,3.74,2.25,0.81,34.17
2018,2.12,4.76,5.48,3.88,5.48,5.25,11.59,5.74,7.16,2,8.04,4.27,65.77
2019,1.7,1.48,5.14,3,6.3,3.86,5,1.71,0.8,6.06,3.55,3.99,42.59
2020,3.03,2.29,3.1,4.13,2.45,3.98,2.92,4.88,0.93,2.92,2.91,3.31,36.85
2021,1.54,3.44,2.35,1.87,3.77,3.77,3.89,7.89,11.18,3.77,1.01,0.74,45.22
2022,M,2.22,2.98,2.69,5.59,M,M,M,M,M,M,M,M
